categoria,producto,color,etiqueta,precio,talles,imagen
REMERAS,COMPANY RELAXED,Gris perla,NEW IN,14990,"S,M,L,XL,XXL",imagenes/RELAXED/IMG_2204.JPG|imagenes/RELAXED/IMG_2202.JPG|imagenes/RELAXED/IMG_2206.JPG
REMERAS,COMPANY RELAXED,Chocolate,,14990,"S,M,L,XL,XXL",
REMERAS,COMPANY RELAXED,Gris plata,,14990,"S,M,L,XL,XXL",
REMERAS,UNIFORM RELAXED,Chocolate,,14990,"S,M,L,XL,XXL",
REMERAS,UNIFORM RELAXED,Negro,,14990,"S,M,L,XL,XXL",
REMERAS,THINK RELAXED,Gris plata,,14990,"S,M,L,XL,XXL",
REMERAS,THINK RELAXED,Negro,,14990,"S,M,L,XL,XXL",
DENIM,JEAN STRAIGHT RUST,Negro,,32990,"38,40,42,44,46,48",imagenes/denim/jean-straight-black-negro.JPG
